,round,trades,money_left,penalty,15_predicted,15_actual,11_predicted,11_actual,captain_pred,captain_actual,total_predicted,total_actual
0,1.0,0.0,12.0,0.0,0.0,171.0,0.0,139.0,4.0,16.0,0.0,155.0
0,2.0,2.0,9.6,4.0,92.0,92.0,86.0,86.0,20.0,20.0,102.0,102.0
0,3.0,2.0,14.1,4.0,84.0,84.0,78.0,78.0,16.0,16.0,90.0,90.0
0,4.0,2.0,10.4,4.0,90.0,90.0,77.0,77.0,12.0,12.0,85.0,85.0
0,5.0,2.0,11.7,4.0,81.0,81.0,79.0,79.0,20.0,20.0,95.0,95.0
0,6.0,2.0,9.4,4.0,84.0,84.0,78.0,78.0,15.0,15.0,89.0,89.0
0,7.0,2.0,3.3,4.0,78.0,78.0,74.0,74.0,18.0,18.0,88.0,88.0
0,8.0,2.0,0.4,4.0,91.0,91.0,87.0,87.0,15.0,15.0,98.0,98.0
0,9.0,2.0,4.1,4.0,88.0,88.0,80.0,80.0,15.0,15.0,91.0,91.0
0,10.0,2.0,4.2,4.0,105.0,105.0,97.0,97.0,17.0,17.0,110.0,110.0
0,11.0,2.0,5.2,4.0,71.0,71.0,69.0,69.0,21.0,21.0,86.0,86.0
0,12.0,2.0,9.1,4.0,79.0,79.0,70.0,70.0,12.0,12.0,78.0,78.0
0,13.0,2.0,8.7,4.0,108.0,108.0,102.0,102.0,19.0,19.0,117.0,117.0
0,14.0,2.0,10.1,4.0,104.0,104.0,93.0,93.0,16.0,16.0,105.0,105.0
0,15.0,2.0,12.0,4.0,74.0,74.0,69.0,69.0,13.0,13.0,78.0,78.0
0,16.0,2.0,8.3,4.0,86.0,86.0,84.0,84.0,21.0,21.0,101.0,101.0
0,17.0,2.0,6.5,4.0,65.0,65.0,60.0,60.0,14.0,14.0,70.0,70.0
0,18.0,2.0,3.3,4.0,94.0,94.0,92.0,92.0,21.0,21.0,109.0,109.0
0,19.0,2.0,5.1,4.0,102.0,102.0,98.0,98.0,18.0,18.0,112.0,112.0
0,20.0,2.0,3.7,4.0,66.0,66.0,63.0,63.0,18.0,18.0,77.0,77.0
0,21.0,2.0,7.3,4.0,80.0,80.0,77.0,77.0,15.0,15.0,88.0,88.0
0,22.0,2.0,8.4,4.0,96.0,96.0,88.0,88.0,15.0,15.0,99.0,99.0
0,23.0,2.0,11.8,4.0,88.0,88.0,86.0,86.0,21.0,21.0,103.0,103.0
0,24.0,2.0,16.0,4.0,71.0,71.0,66.0,66.0,16.0,16.0,78.0,78.0
0,25.0,2.0,20.8,4.0,74.0,74.0,64.0,64.0,15.0,15.0,75.0,75.0
0,26.0,2.0,10.6,4.0,86.0,86.0,80.0,80.0,18.0,18.0,94.0,94.0
0,27.0,2.0,20.6,4.0,87.0,87.0,85.0,85.0,23.0,23.0,104.0,104.0
0,28.0,2.0,18.8,4.0,112.0,112.0,107.0,107.0,20.0,20.0,123.0,123.0
0,29.0,2.0,23.5,4.0,79.0,79.0,76.0,76.0,15.0,15.0,87.0,87.0
0,30.0,2.0,16.5,4.0,78.0,78.0,76.0,76.0,21.0,21.0,93.0,93.0
0,31.0,2.0,21.7,4.0,42.0,42.0,42.0,42.0,13.0,13.0,51.0,51.0
0,32.0,2.0,23.1,4.0,69.0,69.0,66.0,66.0,15.0,15.0,77.0,77.0
0,33.0,2.0,19.0,4.0,74.0,74.0,73.0,73.0,16.0,16.0,85.0,85.0
0,34.0,2.0,18.2,4.0,77.0,77.0,73.0,73.0,21.0,21.0,90.0,90.0
0,35.0,2.0,18.3,4.0,71.0,71.0,69.0,69.0,17.0,17.0,82.0,82.0
0,36.0,2.0,13.8,4.0,87.0,87.0,85.0,85.0,19.0,19.0,100.0,100.0
0,37.0,2.0,12.7,4.0,72.0,72.0,68.0,68.0,15.0,15.0,79.0,79.0
0,38.0,2.0,15.0,4.0,100.0,100.0,96.0,96.0,16.0,16.0,108.0,108.0
